大会年度,セッションID,発表ID,発表タイトル,発表サブタイトル,キーワード,要約
2018,1A0,1A0-01,オープニング,,,
2018,1A0,1A0-02,「手づくりの会話情報学 – 人と人工知能の未来のコミュニケーション」,,,現代の人工知能は，機械学習技術の進展により膨大な空間の中からのパターン発見能力が大幅に強化され，高度化が急速に進んでいます． 人間社会が人工知能のもたらすベネフィットを最大限に享受できるようにするためには，人間社会と人工知能がともに依拠できる共有基盤（common ground）を構築し，発展させていく手法を確立することが不可欠です． 目標とすべき共有基盤の条件として，人にとっても人工知能にとってもその内容がよく理解できること，および，人間社会のすべての構成員が自分の考えや気持ちを織り込んで相互理解を促進するための土台となることを課すのであれば，誰でも日常親しんでいる会話を通して共有基盤づくりに参加できるようにすることが必要になります． 他方，人と人が日常的に行っている会話は，非常に多くの要因が複雑に絡み合い，暗黙的な側面をたくさん含んでいますから，会話からの共有基盤づくり，および，共有基盤を理解してさまざまな応用で活用できるようにすることは，非常にチャレンジングな課題であると言えます． 現代のテクノロジーをもってしても，共有基盤づくりも会話システムづくりもかなり手づくりにならざるを得ないと考えられますが，それは必ずしもディメリットではありません． 手づくりのプロセスを通して会話について，会話に参加する人間について，そして，人工知能が会話に参加できるようになるための条件について多くのことを学ぶことができます． この講演では，会話の面白さと難しさに触れつつ会話に関わるこれまでの研究を俯瞰し，共有基盤構築と活用のための課題とアプローチ，および人工知能をはじめとするテクノロジーによる会話の拡張について議論します．
2018,1A1,1A1-01,KS-6 AIで切り開く未来社会：食・食システムを通じて社会課題を解決する,,,食・食システム分野へのAI活用が広がっている．食べることは人間の根源的な行為であり，健康寿命延伸や，人との関わりを活かした新たなコミュニティづくりなど，従来の食ビジネス・サービスの発展だけでなく，ヘルスケアや地域活性など食を通じた課題解決に期待が高まっている．本セッションでは，産官学で活躍されるパネラー4名を迎えパネルディスカッションを行う．なお本企画は「OS-24 食とAI」との関連企画である．
2018,1A2,1A2-01,KS-2 JSAI Cup 2018 報告会,,,全国大会に先立ち「JSAI Cup 2018: 2018年度人工知能学会データ解析コンペティション」が開催されました．このコンペティションでは，参加者は食材の画像認識を題材に予測モデリングの技術を競い合いました．本セッションでは，コンペティションの開催報告を行うとともに，成績優秀者による予測手法・分析結果についての講演を通じて，実データに対する予測モデリング手法を紹介します．https://signate.jp/competitions/59
2018,1A3,1A3-01,KS-10 AIに関わる安全保障技術をめぐる世界の潮流,,,AIと安全保障技術を巡り，世界中で議論が注目されています．国連ではLAWS（自律型致死兵器）の開発・使用の規制に向けた議論が昨年から本格的に始まりました．安全保障技術をめぐる世界の潮流を理解するため，拓殖大学国際学部教授・海外事情研究所副所長佐藤丙午氏とLAWSの規制に関する国連の会議を担当されている外務省軍縮不拡散・科学部通常兵器室上席専門官の南健太郎氏をお招きして，お話を伺います．http://ai-elsi.org/archives/707
2018,1B1-OS-11a,1B1-OS-11a-01,街歩きアプリを用いた商店街活性化のためのインセンティブ設計の提案,,商店街活性化、インセンティブ設計、街歩きアプリ,商店街の活性化のためには，商店街の各店舗への来店を促し，各店舗の魅力を知ってもらうことが必要である．しかし現状としては，大部分の顧客の訪問は一部の大型チェーン店の支店に偏ってしまっているという問題がある．そこで本研究では，我々の開発した街歩きアプリを用いたイベントを実施した．また，本イベントでは，一部の店舗にユーザの訪問が偏ることを防ぐために，店舗魅力値という本研究独自の指標を定義し，店舗魅力値を一定化させるという目的のもとで，各店舗のポイント配分を決定するというインセンティブ設計を行った．そして，実際に街歩きアプリを用いたイベントにより得られたデータを分析することによって，ユーザに対して商店街の各店舗への来店を促し，各店舗の魅力を伝えることに成功し，提案手法の有効性を示すことが出来た．
2018,1B1-OS-11a,1B1-OS-11a-02,マルチドローンによる大規模地形モデリングと自動飛行撮影,,ドローン、SfM、地形モデリング,ドローンによる広域自然景観を撮影する場合に，手ブレなしで長時間安定した映像取得を行うために，自動飛行による撮影は一つの有効な手段となる．自動飛行を実行するためには，あらかじめ飛行経路とカメラアングルのプランニングが必要となる．特にドローンでは撮影対象への接近や地表面に対して低空で飛ばすなどの撮影が行われる．このような撮影を行うためには，地形に関する情報に基づいてプラニングを行う必要がある．このプラニングに必要な地形情報をドローンを用い，SfM（Structure from Motion）から地形モデリングを生成する．この際，規模の大きな地形をモデリングするために，時間短縮のために複数のドローンを同時に活用して，モデリング用の撮影を行った．この地形モデリングに基づき，自動撮影飛行プラニングを作成する．以上，大規模地形モデリングを含めた自動飛行撮影の手順とその成果について示す．
2018,1B1-OS-11a,1B1-OS-11a-03,新しい観光ニーズの調査手法に向けて,,観光、ニーズ分析、テキストマイニング,観光客のニーズを調べるために，多くの実地調査が行われている．しかし，既存の調査手法は，大量なサンプルを得るために時間と費用が掛かる問題がある．一方，ウェブ上には膨大な旅行口コミが蓄積されている．その口コミを分析することで，低コスト・リアルタイムなニーズ調査を実現する可能性がある．本稿は，北海道の観光客の動態調査や満足度調査について，これまで行った手作業による口コミの分析から得られた知見を紹介し，自動分析に向けての課題を示す．
2018,1B1-OS-11a,1B1-OS-11a-04,滞在人数を考慮した経路別人数の推定,,人流、交通、トラヒック推定,交通分野では，経路を移動する人数（経路別人数）を推定することは重要な課題である．本研究では，通過人数に加えて滞在人数を用いて，高精度に経路別人数を推定する手法を提案する．人工データを用いて，提案手法が既存手法よりも経路別人数の誤差が小さくなることを示す．また，実データに提案手法を適用したときの分析結果を示す．
2018,1B1-OS-11a,1B1-OS-11a-05,畳み込みニューラルネットワークによるチンパンジーの個体識別,,社会応用、画像認識、畳み込みニューラルネットワーク、Computational Ethology、チンパンジーの個体識別,近年の情報科学の発展は，動物行動学の研究に大きく寄与している．我々は札幌市円山動物園において人工知能により動物を管理する負担の軽減を試みを行っている．我々の目標の1つは，健康管理と飼育環境の整備のためにチンパンジーのエソグラムを自動的に作成することである．エソグラムとはある特定の個体や種の全行動パターンの目録であり，動物の行動を研究するうえでもっとも基本的な記録である． エソグラムの作成には個体識別が必要があるため，本研究では画像認識分野で高い精度を出している畳み込みニューラルネットワークを用いて個々のチンパンジーを認識できるか検証した。 実験の結果，我々のシステムはチンパンジーの個体識別が可能であることを示した。
2018,1B2-OS-11b,1B2-OS-11b-01,LSTMを用いた俳句自動生成器の開発,,人工知能、俳句、深層学習,深層学習を使用した芸術の作成が近年注目を集めている。また、日本で古くから親しまれている芸術として俳句がある。そこで、俳句を作成する方法として一般的な「モチーフから俳句を作る」ということを深層学習を使用して行うこと で、芸術作成としての深層学習の有用性を示す。まず、我々は大量の過去の俳句に基づいてLSTMを訓練し、LSTMに文字列を生成させる。2つめに、生成された文字列から俳句としての条件を満たすものを抽出し、モチーフ画像に適合するかどうかの評価値を算出する。評価値が高ければ、生成された俳句がモチーフ画像に適合しているとみなす。この過程で、LSTM が俳句としてのルールを学習できているかを確認するための実験を行った。
2018,1B2-OS-11b,1B2-OS-11b-02,魚探音響画像に基づく魚種推定モデルの検証,,音響画像、畳み込みニューラルネットワーク、定置網漁場,近年、漁業の乱獲などによって水産資源の枯渇が問題となっており、魚種ごとの資源管理が課題とされている。しかし、受動的漁法である定置網漁法において、漁獲量を調整することが難しい。そこで、本研究は定置網漁場に 設置された魚群探知機によって得られる音響画像を用いて、魚探音響画像に基づく魚種推定モデルの検証を行う。
2018,1B2-OS-11b,1B2-OS-11b-03,名古屋市のタクシー配車データを用いたSmart Access Vehicle Service の効率性評価,,デマンド応答型交通、シミュレーション,本稿では，名古屋市のタクシー配車データに基づき，Smart Access Vehicle Service（SAVS）をシミュレーション評価する．近年，デマンド応答型交通（DRT）は地方だけでなく都市部でも注目されてきているが，数時間前までの予約が必要など，利便性が高い交通サービスとは言えない．一方，SAVSはリアルタイムに提供可能なドア・ツー・ドアの交通サービスであるため，独占型の交通サービスであるタクシーを共有型に変換することが可能である．ODパターンとデマンド数が異なる4つの時間帯を対象にシミュレーションを行った結果，乗り合いによりSAVSはタクシーより効率的に配車できることを確認した．
2018,1B2-OS-11b,1B2-OS-11b-04,流通の最適化のための漁場予測AI プラットフォームの開発,,水産業、人工知能、漁場予測,近年，北海道で水揚される水産物の水揚量の傾向が変化している．また，この問題は単に北海道に限った問題ではなく，日本各地において水産物の水揚量の傾向が変化している．地域経済を支える水産業の持続性を確保するためには，単に環境に適応した漁業を実現するだけではなく，漁業と加工や小売を結ぶ流通業の効率化も実現する必要がある．本研究では，主に流通事業者を対象とした，未来の水揚量および漁場の予測を行うためのAIプラットフォームの実現を目指した．このプラットフォームでは，水揚データと環境データを蓄積し，そのデータを活用してAIによる予測を行い，結果をユーザである流通事業者に提供する．これにより，流通資材の最適化や水産物の高付加価値化が可能となる．今回，スルメイカ，サケ，ブリの3魚種を対象とし，水揚データのみを用いてニューラルネットワークによる予測を行った．現状では1トン以上の誤差が出る場合が多いため，今後はより長期間の水揚データと環境データを蓄積するとともに，予測精度の改善を行い，水産業の持続発展への貢献を目指す．
2018,1B3,1B3-01,Hawkes Process を用いた Social Tagging System におけるバースト現象解析,,バースト現象、Hawkes Process、ソーシャルタギングシステム,"SNS などのウェブ上の人々の活動においては, 特定の話題に対する言及が急激に増えるバースト現象が見られる. このバースト現象を解析する手法として, 確率的点過程モデルである Hawkes Process が用いられる. Hawkes Process の内部のダイナミクスを表す指標として branching ratio というものがあり, この値がある特定の閾値を超えるとイベント時系列が静的な定常状態から, バースト現象が起こりやすい非定常状態へと相転移することが知られている. 本研究では, SNS から得られるデータの中でも特に Social Tagging System に着目し, サービスの成長に伴って branching ratio がどのように時間的に変化していくのかを分析する."
2018,1B3,1B3-02,ソーシャルメディア上のコミュニティ形成に対して個人の性格が与える影響,,ソーシャルメディア、ホモフィリー、性格、ビッグファイブ,ソーシャルメディア上でユーザのコミュニティが形成・発展する背景には，ユーザ同士の性格的な相性が関わっていると思われるが，その影響を定量的に捉えた研究は少ない．本研究では，Twitterユーザの投稿テキストから推定された性格スコアと，会話ネットワーク上のコミュニティの分析指標との相関を分析することで，性格とコミュニティ形成の関係を考察した．また，Homophilyと呼ばれる「類は友を呼ぶ」現象が見られるような性格はないか，確認した．本研究により得られる知見は，よりユーザの効用やチームパフォーマンスを向上させるようなSNSプラットフォームの設計などへの応用が期待される．
2018,1B3,1B3-03,動的関係ネットワークを用いたフェイクニュース判定システムの為の評価モデル,,動的関係ネットワーク、フェイクニュース、信用度,本研究では、フェイクニュースの判定を補助するシステムの構築を目指し，信用度を相対的整合性により動的に決める動的関係ネットワークを用いた信用度評価モデルを提案する．この信用度評価モデルは，記事の真偽を表す結論ノードと，5W1Hの情報を持った事実ノードで構成される．信用度評価モデルの評価のために，通常のニュースとフェイクニュースを用いてネットワークを構築し，評価した．その結果，事実ノードより，信用できない情報の特定が可能，結論ノードより，記事の傾向が推察可能であることがわかった．
2018,1B3,1B3-04,仮想社会における社会関係とソーシャルサポートに関する一考察,,ソーシャルサポート、自己開示,現実の社会関係では相談しにくいことも匿名のオンラインコミュニケーションではしやすくなる。しかし日本の若者が主に利用するオンラインコミュニケーションツール（Facebook、Twitter、LINE）は現実の社会関係を多く含む。そのような現実とその拡張の社会関係を補完するコミュニケーションツールは重要であろう。本研究は、アバターチャットサービス「ピグパーティ」におけるソーシャルサポートについて考察することが目的である。そのためにサービス運営者によるインタビュー結果をオンラインソーシャルサポートの観点から整理した。
2018,1C1,1C1-01,Web上の人物へのBSHの付与,,Web人物検索、BSH、標目付与,Web上の人物の理解と選択を支援するために，Web上の人物に日本図書館協会の基本件名標目表第4版(BSH)を付与する手法を検討する．20氏名×50件のWeb検索結果を人手で同姓同名人物に分離した人物クラスタを対象として，BSHの付与実験を行った．テキスト（タイトル，全文，氏名の前後），Webページの件数，参照語の利用と重み，文書頻度と逆文書頻度の利用を組み合わせた調査結果を報告する．
2018,1C1,1C1-02,協調作業におけるグループ内アプリケーション共有開始手続きの円滑化のためのインタフェースの試作,,WebRTC、アプリケーション共有、ネイティブアプリケーション,PCを用いた協調作業において，作業中のネイティブアプリケーションのウィンドウ画面を，参加者間で共有することは有用である．先行研究では，ウィンドウ単位での画面共有に焦点を当て，アプリケーション仮想共有システムを開発した．しかし，先行研究には，共有を開始するまでの操作が煩雑であるという課題があった．本研究の目的は，円滑な共有開始手続きを可能とするインタフェースを実装することで，協調作業の支援を行うことである．本研究では，あらかじめグループ内で利用する端末の情報をサーバに保管しておくことで，ウィンドウ画面の配信先端末を自動で決定し，共有開始手続きの負担を軽減するインタフェースを開発した．
2018,1C1,1C1-03,CNNによる画像形状特徴を利用した推薦システム,,推薦システム、深層学習、協調フィルタリング,PMF(Probabilistic Matrix Factorization)はよく使われる推薦手法であり，研究だけでなく業界でも広く使用されている．近年、このアルゴリズムはさまざまな補助情報と組み合わされており、推薦精度がさらに改善された．本稿では，畳み込みニューラルネットワーク（CNN）を確率的行列分解（PMF）に統合し，画像形状特徴を用いた確率モデルを提案する．
2018,1C1,1C1-04,半教師学習と特異値分解によるCold-Start問題へのアプローチ,,Cold-Start問題、半教師学習、推薦システム,機械学習を用いてWebマーケティングには多くの課題があり、その一つにCold-Start問題がある。例えば通販サイトなどでユーザーに商品を推薦する場合、ユーザーと商品の購買ログやレビューログを取り扱うことになる。しかし、Webのマーケティングデータはロングテールになる傾向があるため、多くのユーザーや商品のログデータは少なく、数件程度しかないことも多い。商品の推薦システムではこの過去ログに基づいてユーザーに対して商品を提示するため、ロングテールの商品は提示されにくく一部の人気商品ばかりが提案される事になる。本研究では、このCold-Start問題に対して半教師学習と特異値分解を組み合わせた手法を提案する。また、提案した手法をMovieLensが提供している映画の評価スコアデータで検証した結果を報告する。
2018,1C2-OS-8a,1C2-OS-8a-01,ローカルデータ・公開データを統合利用可能なコンテクスト検索エンジンの提案,,検索エンジン、時系列データ、データ共有、オープンデータ、データジャケット,本稿ではローカルデータと公開データを統合利用可能なコンテクスト検索エンジンを提案する．「動向に関する問い」というタスクを対象としたコンテクスト検索エンジンが研究されている．公開可能なデータを収集したものが検索可能であるが，ユーザはプライバシー保護などの問題で外部に公開できないようなデータを所持している場合も多い．このようなローカルデータを公開データと統合利用可能にすることで，データからの新たな価値創造など，その有効活用につながると考える．非公開データ自体を共有することなく，データの利用価値を検討可能とするために，本稿ではData Jacketをコンテクスト検索エンジンに導入する．実験結果により提案システムの有効性を示す．
2018,1C2-OS-8a,1C2-OS-8a-02,企業間でのマーケティングデータによる共創的価値創出に向けた課題分析,,共創、マーケティング、データ市場、データ設計,近年のマーケティングにおいて、生活者から得られたデータを利活用することが重要となり、多くの企業による取り組みがなされている。その一方で、多様な企業がマーケティングデータをお互いに交換・利用しながら共創的価値を引き出していくアプローチは、まだ改良の途上にある。そこで本研究では、IMDJ（Innovators Marketplace on Data Jackets）を利用して、マーケティングデータや、想定されるプレイヤーの特性を踏まえたデータエクスチェンジへの期待・ニーズや課題を分析して、自社外とのマーケティングデータ・エクスチェンジにおけるインセンティブ設計について提案した。
2018,1C2-OS-8a,1C2-OS-8a-03,ロイターニュース記事からの因果関係抽出の試み,,テキストマイニング、因果関係、人工知能,本研究では，ロイターニュース記事からの因果関係抽出手法の開発を試みる．まず，我々は，ニュース記事に含まれる因果関係と，それを示す手がかりとなる表現の調査を行った．その後，特定の手がかりに着目し，因果関係抽出手法を試みた．
2018,1C2-OS-8a,1C2-OS-8a-04,データ3.0時代のデータランドスケープ,,データ市場、データ3.0、データランドスケープ、データジャケット,異なる分野のデータと知識を結合することで問題を発見し、問題解決を行うことへの期待が高まっている。しかし、その実現には多くの障壁が存在する。本稿では、データ3.0時代におけるデータの在り方についてデータランドスケープを用いて所見を述べる。現在はデータ2.0からデータ3.0への過渡期である。これからのデータ駆動型社会の実現には、データ・AI技術・人間の相互作用による異分野のデータと知識の連携によるイノベーションの場である「データ市場」の整備が重要と言える。
2018,1C3-OS-8b,1C3-OS-8b-01,センシングデータ流通市場におけるメタデータの定義・生成・活用の一方式,,データ流通市場、センシングデータ、メタデータ,IoTデバイスから集まるセンシングデータに基づくアプリケーションを開発するデータ利用者に対して、センシングデータ流通市場に対するニーズが高まりつつある。データ利用者に対しては、AIなどのデータ分析を行うために、センシングデータのみならず、そのメタデータも重要な情報である。我々は、センシングデータのメタデータの定義、生成・配信し、データ利用者が活用に関する課題を検討するとともに、Iotシステム上にプロトタイプを作成して評価した。
2018,1C3-OS-8b,1C3-OS-8b-02,再開発エリアにおける歩行者の加速度類似性に基づくチーム行動検出,,チーム行動検出、加速度類似性、再開発地域,チーム行動は、ビジネスやスポーツなど様々な文脈において、文化および生活の側面に現れる本質的な要素である。このチーム行動をとらえるために本論文では、歩行者間における加速度時系列の類似性を、時間ごとに人と人のなすチーム行動の検出に用いる指標とする。ここでは、再開発地域を実験対象として加速度センサーを用い、加速度類似性と、共に歩いたという感覚の一致を検証する。
2018,1C3-OS-8b,1C3-OS-8b-03,「ブロックチェーン×データジャケット」で実現するデータ流通・利活用社会,,ブロックチェーン、データジャケット、データ流通、イノベーション,近年のビッグデータ解析や人口知能技術の急速な進展を背景に、膨大なデータと最新の分析技術を人々が持つ多様な発想のもとで組み合わせることで、異業種共創が加速され、これまでに無かった画期的なサービスや製品が生み出されることが期待される。そのためには、社会が保有するデータが業種・業界を超えて安心安全に流通・利活用され、持続的な価値創出が行われる仕組みの社会実装が不可欠である。本稿では、データ流通・利活用社会の実現に向けた富士通のソリューション開発の取り組みを紹介する中で、特に、信頼でつながる「コンソーシアム」という形態を取ることが、データに関わる様々なリスクや不安を軽減しデータ活用を促進する鍵となる点について述べる。
2018,1D1,1D1-01,海底水圧データを用いた津波高予測手法の比較,,津波高予測、海底水圧計、ガウス過程回帰,海底水圧の変化から津波高を予測する枠組みは二つある．一つは，海底水圧データから地震のシナリオを推定し，そして推定した地震シナリオから津波高を予測するという二段階予測のアプローチだ．もう一つの枠組みは，海底水圧データから津波高を直接予測するアプローチだ．予測システムを構築する際，どちらの枠組みの手法を実装するか選定する必要がある．我々はこれら二つの予測アプローチを用いて，和歌山県沖に設置されている地震・津波観測監視システムDONETで観測される水圧データから津波高を予測する検証を行なった．その結果，直接予測のアプローチは二段階予測のアプローチに比べて予測誤差は小さく即時性も高いということが分かった．
2018,1D1,1D1-02,災害前後SAR画像とDEMデータを用いたCNNによる土砂災害検出,,土砂災害検出、畳込みニューラルネットワーク、衛星画像,土砂災害が発生した場合、災害検出の方法として合成開口レーダ(SAR)画像を用いたリモートセンシングが注目されている。しかし、広域なSAR画像判読には多くの人員と時間が必要となる問題がある。そこで、本研究では土砂災害検出に対するリモートセンシングをCNNによって機械的に行う手法を提案する。入力するデータとしては災害前後のSAR画像と、標高データ(DEM)を用いた。実験の結果、未知領域における災害地域、非災害地域という識別の精度は75.56%となった。また、災害と識別した地域と、実際の災害地域の合致割合は(IoU)は21.86%であった。これらの結果から、災害前後のSAR画像、DEMデータの特徴を考慮してCNNによって土砂災害地域の識別、検出を行えられたと考えられる。
